"","date","province","confirmed_cases","active_cases"
"212",2020-05-16,"LIMPOPO",59,19
"213",2020-05-16,"MPUMALANGA",68,19
"214",2020-05-16,"NORTHERN CAPE",35,11
"215",2020-05-16,"NORTH WEST",64,35
"216",2020-05-16,"WESTERN CAPE",8404,5158
"217",2020-05-17,"EASTERN CAPE",1936,1062
"218",2020-05-17,"FREE STATE",158,44
"219",2020-05-17,"GAUTENG",2329,721
"220",2020-05-17,"KWAZULU NATAL",1543,681
"221",2020-05-17,"LIMPOPO",77,37
"222",2020-05-17,"MPUMALANGA",71,22
"223",2020-05-17,"NORTHERN CAPE",37,13
"224",2020-05-17,"NORTH WEST",70,41
"225",2020-05-17,"WESTERN CAPE",9294,5624
"226",2020-05-18,"EASTERN CAPE",2052,1174
"227",2020-05-18,"FREE STATE",163,49
"228",2020-05-18,"GAUTENG",2343,660
"229",2020-05-18,"KWAZULU NATAL",1567,704
"230",2020-05-18,"LIMPOPO",88,48
"231",2020-05-18,"MPUMALANGA",76,23
"232",2020-05-18,"NORTHERN CAPE",37,10
"233",2020-05-18,"NORTH WEST",72,43
"234",2020-05-18,"WESTERN CAPE",10035,6138
"235",2020-05-19,"EASTERN CAPE",2135,1255
"236",2020-05-19,"FREE STATE",168,44
"237",2020-05-19,"GAUTENG",2361,663
"238",2020-05-19,"KWAZULU NATAL",1616,752
"239",2020-05-19,"LIMPOPO",94,52
"240",2020-05-19,"MPUMALANGA",78,21
"241",2020-05-19,"NORTHERN CAPE",37,9
"242",2020-05-19,"NORTH WEST",72,43
"243",2020-05-19,"WESTERN CAPE",10639,6089
"244",2020-05-20,"EASTERN CAPE",2215,1134
"245",2020-05-20,"FREE STATE",180,56
"246",2020-05-20,"GAUTENG",2400,679
"247",2020-05-20,"KWAZULU NATAL",1650,762
"248",2020-05-20,"LIMPOPO",93,48
"249",2020-05-20,"MPUMALANGA",93,35
"250",2020-05-20,"NORTHERN CAPE",38,10
"251",2020-05-20,"NORTH WEST",72,43
"252",2020-05-20,"WESTERN CAPE",11262,5947
"253",2020-05-21,"EASTERN CAPE",2324,1238
"254",2020-05-21,"FREE STATE",184,60
"255",2020-05-21,"GAUTENG",2453,732
"256",2020-05-21,"KWAZULU NATAL",1693,805
"257",2020-05-21,"LIMPOPO",121,76
"258",2020-05-21,"MPUMALANGA",95,37
"259",2020-05-21,"NORTHERN CAPE",37,9
"260",2020-05-21,"NORTH WEST",77,48
"261",2020-05-21,"WESTERN CAPE",12153,6813
"262",2020-05-22,"EASTERN CAPE",2459,1370
"263",2020-05-22,"FREE STATE",185,58
"264",2020-05-22,"GAUTENG",2521,716
"265",2020-05-22,"KWAZULU NATAL",1735,808
"266",2020-05-22,"LIMPOPO",120,66
"267",2020-05-22,"MPUMALANGA",98,40
"268",2020-05-22,"NORTHERN CAPE",39,11
"269",2020-05-22,"NORTH WEST",80,50
"270",2020-05-22,"WESTERN CAPE",12888,6505
"271",2020-05-23,"EASTERN CAPE",2569,1475
"272",2020-05-23,"FREE STATE",196,69
"273",2020-05-23,"GAUTENG",2633,828
"274",2020-05-23,"KWAZULU NATAL",1777,849
"275",2020-05-23,"LIMPOPO",124,70
"276",2020-05-23,"MPUMALANGA",97,39
"277",2020-05-23,"NORTHERN CAPE",40,12
"278",2020-05-23,"NORTH WEST",81,51
"279",2020-05-23,"WESTERN CAPE",13826,7439
"280",2020-05-24,"EASTERN CAPE",2690,1296
"281",2020-05-24,"FREE STATE",202,75
"282",2020-05-24,"GAUTENG",2773,904
"283",2020-05-24,"KWAZULU NATAL",1815,655
"284",2020-05-24,"LIMPOPO",128,72
"285",2020-05-24,"MPUMALANGA",101,43
"286",2020-05-24,"NORTHERN CAPE",40,11
"287",2020-05-24,"NORTH WEST",94,64
"288",2020-05-24,"WESTERN CAPE",14740,7934
"289",2020-05-25,"EASTERN CAPE",2748,1352
"290",2020-05-25,"FREE STATE",208,81
"291",2020-05-25,"GAUTENG",2993,1064
"292",2020-05-25,"KWAZULU NATAL",1882,665
"293",2020-05-25,"LIMPOPO",132,74
"294",2020-05-25,"MPUMALANGA",103,42
"295",2020-05-25,"NORTHERN CAPE",45,16
"296",2020-05-25,"NORTH WEST",109,79
"297",2020-05-25,"WESTERN CAPE",15396,7845
"298",2020-05-26,"EASTERN CAPE",2864,1303
"299",2020-05-26,"FREE STATE",206,77
"300",2020-05-26,"GAUTENG",3043,1093
"301",2020-05-26,"KWAZULU NATAL",1927,698
"302",2020-05-26,"LIMPOPO",132,64
"303",2020-05-26,"MPUMALANGA",103,42
"304",2020-05-26,"NORTHERN CAPE",45,15
"305",2020-05-26,"NORTH WEST",115,85
"306",2020-05-26,"WESTERN CAPE",15829,7622
"307",2020-05-27,"EASTERN CAPE",3047,1486
"308",2020-05-27,"FREE STATE",221,92
"309",2020-05-27,"GAUTENG",3167,1181
"310",2020-05-27,"KWAZULU NATAL",2186,957
"311",2020-05-27,"LIMPOPO",141,71
"312",2020-05-27,"MPUMALANGA",106,44
"313",2020-05-27,"NORTHERN CAPE",48,17
"314",2020-05-27,"NORTH WEST",128,88
"315",2020-05-27,"WESTERN CAPE",16893,7998
"316",2020-05-28,"EASTERN CAPE",3306,1529
"317",2020-05-28,"FREE STATE",225,94
"318",2020-05-28,"GAUTENG",3329,1305
"319",2020-05-28,"KWAZULU NATAL",2349,1119
"320",2020-05-28,"LIMPOPO",144,66
"321",2020-05-28,"MPUMALANGA",111,44
"322",2020-05-28,"NORTHERN CAPE",51,20
"323",2020-05-28,"NORTH WEST",134,88
"324",2020-05-28,"WESTERN CAPE",17754,8191
"325",2020-05-29,"EASTERN CAPE",3583,1803
"326",2020-05-29,"FREE STATE",231,99
"327",2020-05-29,"GAUTENG",3583,1533
"328",2020-05-29,"KWAZULU NATAL",2428,1198
"329",2020-05-29,"LIMPOPO",170,70
"330",2020-05-29,"MPUMALANGA",112,45
"331",2020-05-29,"NORTHERN CAPE",52,20
"332",2020-05-29,"NORTH WEST",143,97
"333",2020-05-29,"WESTERN CAPE",18906,8639
"334",2020-05-30,"EASTERN CAPE",3759,1690
"335",2020-05-30,"FREE STATE",261,130
"336",2020-05-30,"GAUTENG",3773,1707
"337",2020-05-30,"KWAZULU NATAL",2476,1244
"338",2020-05-30,"LIMPOPO",173,30
