"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018","continentExp"
"103","25/02/2020",25,2,2020,1,0,"Afghanistan","AF","AFG",37172386,"Asia"
"104","24/02/2020",24,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"105","23/02/2020",23,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"106","22/02/2020",22,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"107","21/02/2020",21,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"108","20/02/2020",20,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"109","19/02/2020",19,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"110","18/02/2020",18,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"111","17/02/2020",17,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"112","16/02/2020",16,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"113","15/02/2020",15,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"114","14/02/2020",14,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"115","13/02/2020",13,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"116","12/02/2020",12,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"117","11/02/2020",11,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"118","10/02/2020",10,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"119","09/02/2020",9,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"120","08/02/2020",8,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"121","07/02/2020",7,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"122","06/02/2020",6,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"123","05/02/2020",5,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"124","04/02/2020",4,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"125","03/02/2020",3,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"126","02/02/2020",2,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"127","01/02/2020",1,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"128","31/01/2020",31,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"129","30/01/2020",30,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"130","29/01/2020",29,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"131","28/01/2020",28,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"132","27/01/2020",27,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"133","26/01/2020",26,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"134","25/01/2020",25,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"135","24/01/2020",24,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"136","23/01/2020",23,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"137","22/01/2020",22,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"138","21/01/2020",21,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"139","20/01/2020",20,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"140","19/01/2020",19,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"141","18/01/2020",18,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"142","17/01/2020",17,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"143","16/01/2020",16,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"144","15/01/2020",15,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"145","14/01/2020",14,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"146","13/01/2020",13,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"147","12/01/2020",12,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"148","11/01/2020",11,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"149","10/01/2020",10,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"150","09/01/2020",9,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"151","08/01/2020",8,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"152","07/01/2020",7,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
